"chem","synonyms","cas","reference","Categories of Use","Use References","Date Added","Date Updated",,,
"tris(4-chlorophenyl)methane","tris-4-(chlorophenyl)methane; Tris-H; TCPM-H","27575-78-6","Lascombe I, Beffa D, Ruegg U, Tarradellas J, Wahli W. 2000. Estrogenic activity assessment of environmental chemicals using in vitro assays: Identification of two new estrogenic compounds. Environ Health Perspect 108(7):621-629. DOI: 10.2307/3434882 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1638169/","Byproduct/Intermediate/Reactant","Lascombe I, Beffa D, Ruegg U, Tarradellas J, Wahli W. 2000. Estrogenic activity assessment of environmental chemicals using in vitro assays: Identification of two new estrogenic compounds. Environ Health Perspect 108(7):621-629. DOI: 10.1289/ehp.00108621. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1638169/","05/05/2011","05/05/2011",,,
"tris(4-chlorophenyl)methanol","tris-4-(chlorophenyl)methanol; Tris-OH; TCPM-OH","3010-80-8","K?rner W, Vinggaard AM, T?rouanne B, Ma R, Wieloch C, Schlumpf M, Sultan C, Soto AM. 2004. Interlaboratory comparison of four in vitro assays for assessing androgenic and antiandrogenic activity of environmental chemicals. Environ Health Perspect 112(6):695-702. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1241964/  Lascombe I, Beffa D, Ruegg U, Tarradellas J, Wahli W. 2000. Estrogenic activity assessment of environmental chemicals using in vitro assays: Identification of two new estrogenic compounds. Environ Health Perspect 108(7):621-629. DOI: 10.2307/3434882 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1638169/  Poon R, Lecavalier P, Bergman A, Yagminas A, Chu I, Valli VE. 1997. Effects of tris(4-chlorophenyl)methanol on the rat following short-term oral exposure. Chemosphere 34(1):1-12. DOI: 10.1016/S0045-6535(96)00363-3. URL: https://www.sciencedirect.com/science/article/pii/S0045653596003633","Byproduct/Intermediate/Reactant","Lascombe I, Beffa D, Ruegg U, Tarradellas J, Wahli W. 2000. Estrogenic activity assessment of environmental chemicals using in vitro assays: Identification of two new estrogenic compounds. Environ Health Perspect 108(7):621-629. DOI: 10.1289/ehp.00108621. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1638169/","05/05/2011","09/17/2013",,,
"tris(nonylphenyl) phosphite","tri(mixed mono and di-nonylphenyl)phosphite; tris (p-nonylphenyl)-phosphite; tris(mono-nonylphenyl) phosphite; tri-nonylphenyl phosphite; TNPP (tris(nonylphenyl)phosphite)","26523-78-4","Ogawa Y, Kawamura Y, Wakui C, Mutsuga M, Nishimura T, Tanamoto K. 2006. Estrogenic activities of chemicals related to food contact plastics and rubbers tested by the yeast two-hybrid assay. Food Additives & Contaminants 23(4):422-430. DOI: 10.1080/02652030500482371. URL: http://www.tandfonline.com/doi/abs/10.1080/02652030500482371","Food additives and contact material, Household product ingredient, Industrial additive, Plastic/Rubber","Groh, K.J., Backhaus, T., Carney-Almroth, B., Geueke, B., Inostroza, P.A., Lennquist, A., Maffini, M., Leslie, H.A., Slunge, D., Trasande, L. and Warhurst, M., 2018. Chemicals associated with plastic packaging: Inventory and hazards. PeerJ Preprints, 6, p.e27036v1. DOI: 10.7287/peerj.preprints.27036v1. URL: https://peerj.com/preprints/27036/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","09/26/2018",,,,
"uranyl nitrate hexylhydrate",,"13520-83-7","Raymond-Whish S, Mayer LP, O'Neal T, Martinez A, Sellers MA, Christian PJ, Marion SL, Begay C, Propper CR, Hoyer PB, Dyer CA. 2007. Drinking water with uranium below the U.S. EPA water standard causes estrogen receptor-dependent responses in female mice. Environ Health Perspect 115(12):1711-1716. DOI: 10.1289/ehp.9910. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2137136/","Medical/Veterinary/Research","Raymond-Whish S, Mayer LP, O'Neal T, Martinez A, Sellers MA, Christian PJ, Marion SL, Begay C, Propper CR, Hoyer PB and Dyer CA. 2007. Drinking water with uranium below the U.S. EPA water standard causes estrogen receptor-dependent responses in female mice. Environ Health Perspect 115(12):1711-1716. DOI: 10.1289/ehp.9910. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2137136/","01/20/2017","01/20/2017",,,
"vinclozolin"," ","50471-44-8","Anway MD, Cupp AS, Uzumcu M, Skinner MK. 2005. Epigenetic transgenerational actions of endocrine disruptors and male fertility. Science 308(5727):1466-1469. DOI: 10.1126/science.1108190. URL: http://science.sciencemag.org/content/308/5727/1466.full  Gray LE Jr., Ostby JS, Kelce WR. 1994. Developmental effects of an environmental antiandrogen - The fungicide vinclozolin alters sex differentiation of the male rat. Toxicol Appl Pharmacol 129(1):46-52. DOI: 10.1006/taap.1994.1227. URL: http://www.sciencedirect.com/science/article/pii/S0041008X84712270?via%3Dihub  Kelce WR, Lambright LR, Gray LE, Roberts KP. 1997. Vinclozolin and p,p'-DDE alter androgen-dependent gene expression: In vivo confirmation of an androgen receptor-mediated mechanism. Toxicol Appl Pharmacol 142(1):192-200. DOI: 10.1006/taap.1996.7966. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96979661?via%3Dihub  Sanderson JT, Boerma J, Lansbergen GW, van den Berg M. 2002. Induction and inhibition of aromatase (CYP19) activity by various classes of pesticides in H295R human adrenocortical carcinoma cells. Toxicol Appl Pharmacol 182(1):44-54. DOI: 10.1006/taap.2002.9420. URL: https://www.sciencedirect.com/science/article/pii/S0041008X02994202  Scippo ML, Argiris C, Van De Weerdt C, Muller M, Willemsen P, Martial J, Maghuin-Rogister G. 2004. Recombinant human estrogen, androgen and progesterone receptors for detection of potential endocrine disruptors. Anal Bioanal Chem 378(3):664-669. DOI: 10.1007/s00216-003-2251-0. URL: https://link.springer.com/article/10.1007/s00216-003-2251-0","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","04/27/2015",,,
"vinclozolin metabolite M1","2-(((3,5-dichlorophenyl)carbamoyl)oxy)-2-methyl-3-butenoic acid","119209-27-7","Laws SC, Carey SA, Kelce WR, Cooper RL, Gray LE. 1996. Vinclozolin does not alter progesterone receptor (PR) function in vivo despite inhibition of PR binding by its metabolites in vitro. Toxicology 112(3):173-182. DOI: 10.1016/0300-483X(96)03354-9. URL: https://www.sciencedirect.com/science/article/pii/0300483X96033549  Wong CI, Kelce WR, Sar M, Wilson EM. 1995. Androgen receptor antagonist versus agonist activities of the fungicide vinclozolin relative to hydroxyflutamide. J Biol Chem 270(34):19998-20003. DOI: 10.1074/jbc.270.34.19998 . URL: http://www.jbc.org/content/270/34/19998.long","Metabolite/Degradate","Wong CI, Kelce WR, Sar M, Wilson EM. 1995. Androgen receptor antagonist versus agonist activities of the fungicide vinclozolin relative to hydroxyflutamide. J Biol Chem 270(34):19998-20003. DOI: 10.1074/jbc.270.34.19998. URL: http://www.jbc.org/content/270/34/19998.long","05/05/2011","05/05/2011",,,
"vinclozolin metabolite M2","3',5'-dichloro-2-hydroxy-2-methylbut-3-enanilide","83792-61-4","Laws SC, Carey SA, Kelce WR, Cooper RL, Gray LE. 1996. Vinclozolin does not alter progesterone receptor (PR) function in vivo despite inhibition of PR binding by its metabolites in vitro. Toxicology 112(3):173-182. DOI: 10.1016/0300-483X(96)03354-9. URL: https://www.sciencedirect.com/science/article/pii/0300483X96033549  Wong CI, Kelce WR, Sar M, Wilson EM. 1995. Androgen receptor antagonist versus agonist activities of the fungicide vinclozolin relative to hydroxyflutamide. J Biol Chem 270(34):19998-20003. DOI: 10.1074/jbc.270.34.19998 . URL: http://www.jbc.org/content/270/34/19998.long","Metabolite/Degradate","Wong CI, Kelce WR, Sar M, Wilson EM. 1995. Androgen receptor antagonist versus agonist activities of the fungicide vinclozolin relative to hydroxyflutamide. J Biol Chem 270(34):19998-20003. DOI: 10.1074/jbc.270.34.19998. URL: http://www.jbc.org/content/270/34/19998.long","05/05/2011","05/05/2011",,,
"vinyl acetate","acetic acid ethenyl ester","108-05-4","Lijinsky W, Reuber MD. 1983. Chronic toxicity studies of vinyl acetate in Fischer rats. Toxicol Appl Pharmacol 68(1):43-53. DOI: 10.1016/0041-008X(83)90353-8 Get . URL: https://www.sciencedirect.com/science/article/pii/0041008X83903538","Byproduct/Intermediate/Reactant, Pesticide ingredient, Plastic/Rubber","National Pesticide Information Retrieval System. URL: http://ppis.ceris.purdue.edu/Default.aspx  US EPA. InertFinder. URL: https://iaspub.epa.gov/apex/pesticides/f?p=INERTFINDER:1:0::NO:1::  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"xanthohumol"," ","6754-58-1","Coldham NG, Sauer MJ. 2001. Identification, quantitation and biological activity of phytoestrogens in a dietary supplement for breast enhancement. Food & Chemical Toxicology 39(12):1211-1224. DOI: 10.1016/S0278-6915(01)00081-3. URL: http://www.sciencedirect.com/science/article/pii/S0278691501000813","Biogenic compound, Medical/Veterinary/Research","Coldham NG, Sauer MJ. 2001. Identification, quantitation and biological activity of phytoestrogens in a dietary supplement for breast enhancement. Food Chem Toxicol 39(12):1211-1224. DOI: 10.1016/S0278-6915(01)00081-3. URL: https://www.sciencedirect.com/science/article/pii/S0278691501000813","05/05/2011","05/05/2011",,,
"xylene (mixed isomers)","xylenes; dimethylbenzene","1330-20-7","Brown-Woodman PD, Webster WS, Picker K, Huq F. 1994. In vitro assessment of individual and interactive effects of aromatic hydrocarbons on embryonic development of the rat. Reprod Toxicol 8(2):121-135. DOI: 10.1016/0890-6238(94)90019-1. URL: http://www.sciencedirect.com/science/article/pii/0890623894900191  Hass U, Lund SP, Simonsen L, Fries AS. 1995. Effects of prenatal exposure to xylene on postnatal development and behavior in rats. Neurotoxicol Teratol 17(3):341-349. DOI: 10.1016/0892-0362(94)00093-S. URL: http://www.sciencedirect.com/science/article/pii/089203629400093S?via%3Dihub  Kassotis CD, Klemp KC, Vu DC, Lin CH, Meng CX, Besch-Williford CL, Pinatti L, Zoeller RT, Drobnis EZ, Balise VD, et al. 2015 in press. Endocrine-disrupting activity of hydraulic fracturing chemicals and adverse health outcomes after prenatal exposure in male mice. Endocrinology:en20151375. DOI: 10.1210/en.2015-1375. URL: https://academic.oup.com/endo/article/156/12/4458/2422671","Byproduct/Intermediate/Reactant, Household product ingredient, Industrial additive, Pesticide ingredient, Plastic/Rubber, Solvent, Unconventional Oil and Gas","US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US EPA. InertFinder. URL: https://iaspub.epa.gov/apex/pesticides/f?p=INERTFINDER:1:0::NO:1::  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB  Ziemkiewicz PF, Quaranta JD, Darnell A, Wise R. 2014. Exposure pathways related to shale gas development and procedures for reducing environmental and public risk. J Nat Gas Sci Eng 16(0):77-84. DOI: 10.1016/j.jngse.2013.11.003. URL: https://www.sciencedirect.com/science/article/pii/S1875510013001042  Ziemkiewicz PF, Thomas He Y. 2015. Evolution of water chemistry during Marcellus Shale gas development: A case study in West Virginia. Chemosphere 134:224-231. DOI: 10.1016/j.chemosphere.2015.04.040. URL: https://www.sciencedirect.com/science/article/pii/S0045653515003793","05/05/2011","03/20/2017",,,
"yellow flavina CXL",,"n/a","Bazin, I., Hassine, A.I.H., Hamouda, Y.H., Mnif, W., Bartegi, A., Lopez-Ferber, M., De Waard, M. and Gonzalez, C., 2012. Estrogenic and anti-estrogenic activity of 23 commercial textile dyes. Ecotoxicology and environmental safety, 85, pp.131-136. DOI: https://doi.org/10.1016/j.ecoenv.2012.08.003. URL: https://www.sciencedirect.com/science/article/pii/S0147651312002631","Household product ingredient","Bazin, I., Hassine, A.I.H., Hamouda, Y.H., Mnif, W., Bartegi, A., Lopez-Ferber, M., De Waard, M. and Gonzalez, C., 2012. Estrogenic and anti-estrogenic activity of 23 commercial textile dyes. Ecotoxicology and environmental safety, 85, pp.131-136. DOI: https://doi.org/10.1016/j.ecoenv.2012.08.003. URL: https://www.sciencedirect.com/science/article/pii/S0147651312002631","06/20/2018",,,,
"zearalanone",,"5975-78-0","Fang H, Tong WD, Branham WS, Moland CL, Dial SL, Hong HX, Xie Q, Perkins R, Owens W, Sheehan DM. 2003. Study of 202 natural, synthetic, and environmental chemicals for binding to the androgen receptor. Chem Res Toxicol 16(10):1338-1358. DOI: 10.1021/tx030011g. URL: http://pubs.acs.org/doi/abs/10.1021/tx030011g","Biogenic compound","Fang H, Tong WD, Branham WS, Moland CL, Dial SL, Hong HX, Xie Q, Perkins R, Owens W and Sheehan DM.  2003. Study of 202 natural, synthetic, and environmental chemicals for binding to the androgen receptor. Chemical Research in Toxicology 16(10): 1338-1358. DOI: 10.1021/tx030011g. URL: https://pubs.acs.org/doi/abs/10.1021/tx030011g","01/20/2017","01/20/2017",,,
"zearalenol",,"71030-11-0","Fang H, Tong WD, Branham WS, Moland CL, Dial SL, Hong HX, Xie Q, Perkins R, Owens W, Sheehan DM. 2003. Study of 202 natural, synthetic, and environmental chemicals for binding to the androgen receptor. Chem Res Toxicol 16(10):1338-1358. DOI: 10.1021/tx030011g. URL: http://pubs.acs.org/doi/abs/10.1021/tx030011g","Biogenic compound","Fang H, Tong WD, Branham WS, Moland CL, Dial SL, Hong HX, Xie Q, Perkins R, Owens W and Sheehan DM.  2003. Study of 202 natural, synthetic, and environmental chemicals for binding to the androgen receptor. Chemical Research in Toxicology 16(10): 1338-1358. DOI: 10.1021/tx030011g. URL: https://pubs.acs.org/doi/abs/10.1021/tx030011g","01/20/2017","01/20/2017",,,
"zearalenone"," ","17924-92-4","Soto AM, Sonnenschein C, Chung KL, Fernandez MF, Olea N, Serrano FO. 1995. The E-SCREEN assay as a tool to identify estrogens: An update on estrogenic environmental pollutants. Environ Health Perspect 103 (Suppl. 7):113-122. DOI: 10.2307/3432519 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1518887/","Biogenic compound","US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","05/05/2011",,,
"zinc",,"7440-66-6","Dickerson EH, Sathyapalan T, Knight R, Maguiness SM, Killick SR, Robinson J, Atkin SL. 2011. Endocrine disruptor & nutritional effects of heavy metals in ovarian hyperstimulation. J Assist Reprod Genet 28(12):1223-1228. DOI: 10.1007/s10815-011-9652-3. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3241832/  Hafiez AA, el-Kirdassy ZH, Mansour MM, Sharada HM, el-Zayat EM. 1989. Role of zinc in regulating the testicular function. Part 1. Effect of dietary zinc deficiency on serum levels of gonadotropins, prolactin and testosterone in male albino rats. Nahrung 33(10):935-940 DOI: 10.1002/food.19890331007. URL: http://onlinelibrary.wiley.com/doi/10.1002/food.19890331007/abstract","Byproduct/Intermediate/Reactant, Household product ingredient, Industrial additive, Medical/Veterinary/Research, Metal/Metallurgy, Pesticide ingredient, Unconventional Oil and Gas","The Endocrine Disruption Exchange. 2011. Multistate Report Spreadsheet.   URL: https://endocrinedisruption.org/audio-and-video/chemical-health-effects-spreadsheets  US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","03/22/2017","03/22/2017",,,
"zinc acetate",,"557-34-6","Piao F, Yokoyama K, Ma N, Yamauchi T. 2003. Subacute toxic effects of zinc on various tissues and organs of rats. Toxicol Lett 145(1):28-35. DOI: 10.1016/S0378-4274(03)00261-3. URL: https://www.sciencedirect.com/science/article/pii/S0378427403002613","Byproduct/Intermediate/Reactant, Food additives and contact material, Household product ingredient, Medical/Veterinary/Research, Pesticide ingredient","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","03/19/2017","03/20/2017",,,
"zinc bis(dibutyldithiocarbamate)","zinc N,N-dibutylcarbamodithioate","136-23-2","Gray, T.J.B., Butterworth, K.R., Gaunt, I.F., Grasso, P. and Gangolli, S.D., 1976. Short-term toxicity study of zinc dibutyldithiocarbamate in rats. Food and cosmetics toxicology, 16(3), pp.237-242. DOI: 10.1016/S0015-6264(76)80519-6. URL: https://www.sciencedirect.com/science/article/pii/S0015626476805196","Byproduct/Intermediate/Reactant, Food additives and contact material, Industrial additive, Plastic/Rubber, Solvent","Groh, K.J., Backhaus, T., Carney-Almroth, B., Geueke, B., Inostroza, P.A., Lennquist, A., Maffini, M., Leslie, H.A., Slunge, D., Trasande, L. and Warhurst, M., 2018. Chemicals associated with plastic packaging: Inventory and hazards. PeerJ Preprints, 6, p.e27036v1. DOI: 10.7287/peerj.preprints.27036v1. URL: https://peerj.com/preprints/27036/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","09/26/2018",,,,
"zinc chloride",,"7646-85-7","Choe SY, Kim SJ, Kim HG, Lee JH, Choi Y, Lee H, Kim Y. 2003. Evaluation of estrogenicity of major heavy metals. Sci Total Environ 312(1-3):15-21. DOI: 10.1016/S0048-9697(03)00190-6. URL: http://www.sciencedirect.com/science/article/pii/S0048969703001906  Khan AT, Graham TC, Ogden L, Ali S, Salwa, Thompson SJ, Shireen KF, Mahboob M. 2007. A two-generational reproductive toxicity study of zinc in rats. J Environ Sci Health B 42(4):403-415. DOI: 10.1080/03601230701312795. URL: http://www.tandfonline.com/doi/abs/10.1080/03601230701312795?journalCode=lesb20","Byproduct/Intermediate/Reactant, Household product ingredient, Industrial additive, Medical/Veterinary/Research, Metal/Metallurgy, Personal care product/Cosmetic ingredient, Pesticide ingredient, Unconventional Oil and Gas","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB  Waxman HA, Markey EJ, and DeGette D. 2011. Chemicals used in hydraulic fracturing. United States House of Representatives Committee on Energy and Commerce Minority Staff. URL: https://hero.epa.gov/hero/index.cfm/reference/details/reference_id/2079174","01/20/2017","03/20/2017",,,
